Conc. wt% H,"P(eq.), bar","T, K"
0.012936422,0.124797005,571.6576
0.048635448,1.4145601,571.6740
0.098180388,2.5616439,571.6842
0.241717182,3.39811625,571.6887
0.348472263,4.13942435,571.6774
0.471222265,4.734438,571.6583
0.562157012,5.0111155,571.5953
0.668937345,5.52093965,571.6576
0.795741732,5.73856475,571.6576
0.87812047,6.41028695,571.5953
0.936063479,7.547066,571.6576
0.965638041,11.251792,571.6576
0.984801321,15.2845925,571.5642
0.998285828,20.8036255,571.5953
1.007337683,32.634184,571.6576
1.018855956,45.715322,571.5953
1.028181735,64.5794005,571.5642
1.034408663,88.0554725,571.5953
1.039740839,103.3999825,571.5953
1.045688017,125.175175,571.5953
1.05092274,134.08193,571.6576